County,Cases
Cochran,7
Dallam,6
Dawson,11
Ector,2
Gaines,191
Lamar,7
Lubbock,5
Lynn,2
Martin,3
Terry,36
Yoakum,11
Harris,3
Rockwall,1
Travis,1
