County,Cases
Cochran,7
Dallam,6
Dawson,13
Ector,2
Gaines,226
Garza,1
Hale,1
Hockley,1
Lamar,7
Lamb,1
Lubbock,10
Lynn,1
Martin,3
Terry,37
Yoakum,13
Harris,3
Midland,1
Rockwall,1
Travis,1
