County,Cases
Cochran,6
Dallam,6
Dawson,11
Ector,2
Gaines,174
Lamar,4
Lubbock,4
Lynn,2
Martin,3
Terry,36
Yoakum,11
Harris,2
Rockwall,1
Travis,1
