County,Cases
Andrews,1
Cochran,8
Dallam,7
Dawson,14
Ector,4
Gaines,270
Garza,1
Hale,1
Hockley,2
Lamar,10
Lamb,1
Lubbock,23
Lynn,1
Martin,3
Midland,1
Terry,38
Yoakum,15
Harris,3
Rockwall,1
Travis,1
Erath,1
