County,Cases
Cochran,7
Dallam,6
Dawson,13
Ector,2
Gaines,211
Garza,1
Hale,1
Hockley,1
Lamar,7
Lubbock,8
Lynn,2
Martin,3
Terry,37
Yoakum,12
Harris,3
Midland,1
Rockwall,1
Travis,1
