County,Cases
Andrews,3
Atascosa,1
Bailey,2
Borden,1
Brown,1
Carson,1
Cochran,14
Collin,2
Dallam,7
Dawson,26
Eastland,2
Ector,11
El Paso,54
Erath,1
Gaines,406
Garza,2
Hale,6
Hardeman,1
Hockley,6
Lamar,19
Lamb,1
Lubbock,53
Lynn,2
Martin,3
Midland,3
Parmer,5
Potter,2
Randall,1
Reeves,1
Rockwall,2
Terry,60
Upshur,5
Yoakum,20
Brazoria,1
Denton,1
Fort Bend,1
Harris,4
Harrison,1
Shackelford,1
Tarrant,2
Travis,2
