County,Cases
Dawson,25
Martin,3
Ector,10
Cochran,14
Lamar,14
Garza,2
Hale,5
Hockley,5
Lamb,1
Andrews,3
Midland,3
Erath,1
Brown,1
Borden,1
Randall,1
El Paso,22
Reeves,1
Parmer,4
Potter,1
Bailey,2
Dallam,7
Lubbock,48
Yoakum,19
Terry,59
Lynn,2
Gaines,396
