County,Cases
Dallam,7
Lubbock,27
Yoakum,18
Terry,41
Lynn,1
Gaines,280
Dawson,14
Martin,3
Ector,5
Cochran,8
Lamar,10
Garza,2
Hale,1
Hockley,2
Lamb,1
Andrews,1
Midland,1
Erath,1
Brown,1
