County,Cases
Dawson,26
Martin,3
Ector,11
Cochran,14
Lamar,18
Garza,2
Hale,6
Hockley,6
Lamb,1
Andrews,3
Midland,3
Erath,1
Brown,1
Borden,1
Randall,1
El Paso,44
Reeves,1
Parmer,5
Potter,2
Bailey,2
Eastland,2
Hardeman,1
Upshur,5
Dallam,7
Lubbock,51
Yoakum,20
Terry,60
Lynn,2
Gaines,403
