County,Cases
Andrews,3
Atascosa,1
Bailey,2
Borden,1
Brewster,1
Brown,1
Carson,1
Cochran,14
Collin,1
Dallam,7
Dawson,26
Eastland,2
Ector,11
El Paso,56
Erath,1
Gaines,408
Garza,2
Hale,5
Hardeman,1
Hockley,6
Lamar,20
Lamb,1
Lubbock,53
Lynn,2
Martin,3
Midland,5
Parmer,5
Potter,1
Randall,1
Reeves,1
Rockwall,1
Terry,60
Upshur,5
Yoakum,20
