County,Cases
Dawson,21
Martin,3
Ector,8
Cochran,11
Lamar,11
Garza,2
Hale,5
Hockley,3
Lamb,1
Andrews,1
Midland,1
Erath,1
Brown,1
Borden,1
Randall,1
El Paso,3
Dallam,7
Lubbock,41
Yoakum,18
Terry,47
Lynn,2
Gaines,364
