County,Cases
Dawson,24
Martin,3
Ector,9
Cochran,12
Lamar,11
Garza,2
Hale,5
Hockley,5
Lamb,1
Andrews,2
Midland,2
Erath,1
Brown,1
Borden,1
Randall,1
El Paso,18
Reeves,1
Parmer,4
Potter,1
Dallam,7
Lubbock,47
Yoakum,19
Terry,54
Lynn,2
Gaines,386
