County,Cases
Dallam,6
Lubbock,8
Yoakum,12
Terry,37
Lynn,2
Gaines,211
Dawson,13
Martin,3
Ector,2
Cochran,7
Lamar,5
Garza,1
Hale,1
Hockley,1
